"usuarios","empresa","subscriptionId","tipo","servicePacks"
,"AMX_Ent_2482868","AMX_3535220","User",
,"AMX_Ent_2499603","AMX_3625955","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2270213","AMX_Ent_3042443","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""5PREMIUM"",""4PERSONALMOBILITY""]"
,"AMX_Ent_2497674","AMX_3622351","MOH",
,"AMX_Ent_2497674","AMX_3622351","VMR",
,"AMX_Ent_2497674","AMX_3622351","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2500882","AMX_3628295","MOH",
,"AMX_Ent_2500882","AMX_3628295","VMR",
,"AMX_Ent_2500882","AMX_3628295","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_1227333","AMX_3627365","User","[""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""5PREMIUM""]"
,"AMX_Ent_2495774","AMX_3624108","User","[""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""5PREMIUM""]"
,"AMX_Ent_1227333","AMX_3627365","User","[""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""5PREMIUM""]"
,"AMX_Ent_1227333","AMX_3627365","User","[""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""5PREMIUM""]"
,"AMX_Ent_1227333","AMX_3627365","User","[""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""5PREMIUM""]"
,"AMX_Ent_2495774","AMX_3624108","User","[""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""5PREMIUM""]"
,"AMX_Ent_2495774","AMX_3624108","User","[""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""5PREMIUM""]"
,"AMX_Ent_1227333","AMX_3627365","User","[""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""5PREMIUM""]"
,"AMX_Ent_1227333","AMX_3627365","User","[""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""5PREMIUM""]"
,"AMX_Ent_1772020","AMX_2144394","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2293540","AMX_3648400","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2293540","AMX_3648400","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2293540","AMX_3648400","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2293540","AMX_3648400","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2293540","AMX_3648400","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2293540","AMX_3648400","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2293540","AMX_3648400","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2349609","AMX_3205960","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2397843","AMX_3379546","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2481326","AMX_3525218","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_1764741","AMX_2185196","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_1227333","AMX_3627365","MOH",
,"AMX_Ent_1227333","AMX_3627365","VMR",
,"AMX_Ent_1227333","AMX_3627365","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2076808","AMX_2624614","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
,"AMX_Ent_2076808","AMX_2624614","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
,"AMX_Ent_2076808","AMX_2624614","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
,"AMX_Ent_2076808","AMX_2624614","MOH",
,"AMX_Ent_2076808","AMX_2624614","VMR",
,"AMX_Ent_2076808","AMX_2624614","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2481375","AMX_3525343","MOH",
,"AMX_Ent_2481375","AMX_3525343","VMR",
,"AMX_Ent_2340488","AMX_3182910","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_1892614","AMX_3719654","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2492805","AMX_3598852","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2473849","AMX_3537530","MOH",
,"AMX_Ent_2473849","AMX_3537530","VMR",
,"AMX_Ent_1764741","AMX_2185230","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2428841","AMX_3403482","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2435511","AMX_3716947","MOH",
,"AMX_Ent_2435511","AMX_3716947","VMR",
,"AMX_Ent_2435511","AMX_3716947","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2435511","AMX_3716947","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2435511","AMX_3716947","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2435511","AMX_3716947","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2494383","AMX_3621159","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2494383","AMX_3621159","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2494383","AMX_3621159","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2428841","AMX_3403482","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2428841","AMX_3403482","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2428841","AMX_3403482","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2497631","AMX_3622202","MOH",
,"AMX_Ent_2497631","AMX_3622202","VMR",
,"AMX_Ent_2497631","AMX_3622202","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2497631","AMX_3622202","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2497631","AMX_3622202","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2497631","AMX_3622202","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2497631","AMX_3622202","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2497631","AMX_3622202","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2497631","AMX_3622202","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_1995114","AMX_2468251","StandardAA",
,"AMX_Ent_2482868","AMX_3620440","User","[""3STANDARD"",""1BASE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2482868","AMX_3620453","User","[""3STANDARD"",""1BASE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2482868","AMX_3623492","User",
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2510992","AMX_3654046","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override""]"
,"AMX_Ent_2494383","AMX_3621159","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2482868","AMX_3838502","MOH",
,"AMX_Ent_2482868","AMX_3838502","VMR",
,"AMX_Ent_2482868","AMX_3838502","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2062570","AMX_2597971","MOH",
,"AMX_Ent_2062570","AMX_2597971","VMR",
,"AMX_Ent_2062570","AMX_2597971","HuntGroup",
,"AMX_Ent_2062570","AMX_2597971","HuntGroup",
,"AMX_Ent_2062570","AMX_2597971","HuntGroup",
,"AMX_Ent_2308451","AMX_3103926","MOH",
,"AMX_Ent_2308451","AMX_3103926","VMR",
,"AMX_Ent_2308451","AMX_3103926","AA",
,"AMX_Ent_2308451","AMX_3103926","HuntGroup",
,"AMX_Ent_2482868","AMX_3838450","MOH",
,"AMX_Ent_2482868","AMX_3838450","VMR",
,"AMX_Ent_2482868","AMX_3838450","BAPortal",
,"AMX_Ent_2494383","AMX_3621159","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2509644","AMX_3839508","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_2519697","AMX_3843949","MOH",
,"AMX_Ent_2519697","AMX_3843949","VMR",
,"AMX_Ent_2519697","AMX_3843949","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2518770","AMX_3844634","MOH",
,"AMX_Ent_2518770","AMX_3844634","VMR",
,"AMX_Ent_2518770","AMX_3844634","BAPortal","[""1BASE"",""3STANDARD""]"
,"AMX_Ent_2519697","AMX_3918330","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
,"AMX_Ent_2519697","AMX_3918330","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
,"AMX_Ent_2519697","AMX_3918330","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
,"AMX_Ent_2519697","AMX_3918330","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
,"AMX_Ent_2519697","AMX_3918330","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
,"AMX_Ent_2515133","AMX_3778275","MOH",
,"AMX_Ent_2515133","AMX_3778275","VMR",
,"AMX_Ent_2515133","AMX_3778275","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2509644","AMX_3839508","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
,"AMX_Ent_1090642","AMX_3907540","MOH",
,"AMX_Ent_1090642","AMX_3907540","VMR",
,"AMX_Ent_1090642","AMX_3907540","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2523198","AMX_3952755","MOH",
,"AMX_Ent_2523198","AMX_3952755","VMR",
,"AMX_Ent_2523198","AMX_3952755","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_2185163","AMX_2916188","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
